TimeStep,AccelerationY_1,AccelerationY_10,AccelerationY_11,AccelerationY_12,AccelerationY_13,AccelerationY_14,AccelerationY_15,AccelerationY_16,AccelerationY_17,AccelerationY_18,AccelerationY_19,AccelerationY_2,AccelerationY_20,AccelerationY_21,AccelerationY_22,AccelerationY_23,AccelerationY_3,AccelerationY_4,AccelerationY_5,AccelerationY_6,AccelerationY_7,AccelerationY_8,AccelerationY_9,PositionY_1,PositionY_10,PositionY_11,PositionY_12,PositionY_13,PositionY_14,PositionY_15,PositionY_16,PositionY_17,PositionY_18,PositionY_19,PositionY_2,PositionY_20,PositionY_21,PositionY_22,PositionY_23,PositionY_3,PositionY_4,PositionY_5,PositionY_6,PositionY_7,PositionY_8,PositionY_9,VelocityY_1,VelocityY_10,VelocityY_11,VelocityY_12,VelocityY_13,VelocityY_14,VelocityY_15,VelocityY_16,VelocityY_17,VelocityY_18,VelocityY_19,VelocityY_2,VelocityY_20,VelocityY_21,VelocityY_22,VelocityY_23,VelocityY_3,VelocityY_4,VelocityY_5,VelocityY_6,VelocityY_7,VelocityY_8,VelocityY_9
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,0.30766679999999996,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46,18.46
2,-1.8263979,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,-0.5400018000000024,0.5848941999999999,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,0.6063328,16.6336021,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982,17.9199982
3,-3.1127948000000014,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-1.7910041999999997,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,0.8102414,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8751488,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,0.8959999,13.5208073,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,16.128994,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973,17.3799973
4,-3.6273543000000004,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-3.0420074999999986,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-1.6979572999999988,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,-0.5400010000000002,0.9751314,1.1766663,1.1766663,1.1766663,1.1766663,1.1766663,1.1766663,1.1766663,1.1766663,1.1766663,1.1766663,1.0932656,1.1766663,1.1766663,1.1766663,1.1766663,1.1573677,1.1766663,1.1766663,1.1766663,1.1766663,1.1766663,1.1766663,9.893453,16.8399963,16.8399963,16.8399963,16.8399963,16.8399963,16.8399963,16.8399963,16.8399963,16.8399963,16.8399963,13.0869865,16.8399963,16.8399963,16.8399963,16.8399963,15.68204,16.8399963,16.8399963,16.8399963,16.8399963,16.8399963,16.8399963
5,-3.193184999999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-3.627354500000001,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-2.8559129,-1.5736588999999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,-0.540000899999999,1.0868035,1.4483338,1.4483338,1.4483338,1.4483338,1.4483338,1.4483338,1.4483338,1.4483338,1.4483338,1.4483338,1.250927,1.4483338,1.4483338,1.4483338,1.4483338,1.3711357,1.4311047000000001,1.4483338,1.4483338,1.4483338,1.4483338,1.4483338,6.700268,16.2999954,16.2999954,16.2999954,16.2999954,16.2999954,16.2999954,16.2999954,16.2999954,16.2999954,16.2999954,9.459632,16.2999954,16.2999954,16.2999954,16.2999954,12.8261271,15.2663374,16.2999954,16.2999954,16.2999954,16.2999954,16.2999954
6,-2.058472,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-3.055891589999999,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-3.627355100000001,-2.607318899999999,-1.4423036000000007,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,1.1641674,1.7110014,1.7110014,1.7110014,1.7110014,1.7110014,1.7110014,1.7110014,1.7110014,1.7110014,1.7110014,1.3576565,1.7110014,1.7110014,1.7110014,1.7110014,1.5244483999999998,1.642088,1.6959613999999998,1.7110014,1.7110014,1.7110014,1.7110014,4.641796,15.7599955,15.7599955,15.7599955,15.7599955,15.7599955,15.7599955,15.7599955,15.7599955,15.7599955,15.7599955,6.40374041,15.7599955,15.7599955,15.7599955,15.7599955,9.198772,12.6590185,14.8576918,15.7599955,15.7599955,15.7599955,15.7599955
7,-1.4820004800000004,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-1.9571790700000005,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-2.96811061,-3.627354500000001,-2.3446064,-1.3191319000000004,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,1.2168314,1.9646664,1.9646664,1.9646664,1.9646664,1.9646664,1.9646664,1.9646664,1.9646664,1.9646664,1.9646664,1.4317665,1.9646664,1.9646664,1.9646664,1.9646664,1.6282914,1.7926159,1.9045124,1.9516814,1.9646664,1.9646664,1.9646664,3.15979552,15.2199955,15.2199955,15.2199955,15.2199955,15.2199955,15.2199955,15.2199955,15.2199955,15.2199955,15.2199955,4.44656134,15.2199955,15.2199955,15.2199955,15.2199955,6.23066139,9.031664,12.5130854,14.4408636,15.2199955,15.2199955,15.2199955
8,-1.2946700999999998,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.4477773399999996,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.9001331299999995,-2.9101797199999995,-3.246910399999999,-2.0982628000000005,-1.210946999999999,-0.5399999999999991,-0.5399999999999991,1.2479172,2.2093334000000002,2.2093334000000002,2.2093334000000002,2.2093334000000002,2.2093334000000002,2.2093334000000002,2.2093334000000002,2.2093334000000002,2.2093334000000002,2.2093334000000002,1.4817467,2.2093334000000002,2.2093334000000002,2.2093334000000002,2.2093334000000002,1.7004681,1.89464,2.0589485,2.1573914,2.1981514,2.2093334000000002,2.2093334000000002,1.86512542,14.6799955,14.6799955,14.6799955,14.6799955,14.6799955,14.6799955,14.6799955,14.6799955,14.6799955,14.6799955,2.998784,14.6799955,14.6799955,14.6799955,14.6799955,4.33052826,6.12148428,9.266175,12.3426008,14.0090485,14.6799955,14.6799955
9,-1.167086663,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-1.27730172,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-1.4296212600000002,-1.8650417299999997,-2.9911195900000003,-2.8773947999999994,-1.8818941000000002,-1.1192064000000013,-0.5399998999999998,1.2595513999999999,2.4449997,2.4449997,2.4449997,2.4449997,2.4449997,2.4449997,2.4449997,2.4449997,2.4449997,2.4449997,1.5104389,2.4449997,2.4449997,2.4449997,2.4449997,1.7488175,1.96558,2.1635314,2.3151436,2.4002714,2.4353466,2.4449997,0.6980387570000001,14.1399956,14.1399956,14.1399956,14.1399956,14.1399956,14.1399956,14.1399956,14.1399956,14.1399956,14.1399956,1.72148228,14.1399956,14.1399956,14.1399956,14.1399956,2.900907,4.25644255,6.27505541,9.465206,12.1271544,13.5607891,14.1399956
10,-1.0937501790000002,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-1.155351046,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-1.2668804700000003,-1.41891255,-1.9146046700000001,-3.0577276700000002,-2.5515214000000004,-1.6984119,-1.0427475000000008,1.2529564,2.6716671,2.6716671,2.6716671,2.6716671,2.6716671,2.6716671,2.6716671,2.6716671,2.6716671,2.6716671,1.5198746,2.6716671,2.6716671,2.6716671,2.6716671,1.7760514,2.0128727,2.2362061,2.4219342,2.5598641,2.6330529,2.6632862,-0.39571142200000003,13.5999956,13.5999956,13.5999956,13.5999956,13.5999956,13.5999956,13.5999956,13.5999956,13.5999956,13.5999956,0.566131234,13.5999956,13.5999956,13.5999956,13.5999956,1.6340265299999999,2.83753,4.36045074,6.40747833,9.575633,11.8623772,13.0972481
