TimeStep,GroundPositionX,GroundVelocityX,GroundAccelerationX,AirPositionX,AirVelocityX,AirAccelerationX
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.01279998,0.7679999470000001,0.7679999470000001,0.0095719,0.5742982,0.5742982
3,0.03839993,1.53599989,0.767999943,0.028803699999999998,1.1538965700000001,0.5795983700000001
4,0.07679987,2.304,0.7680001099999998,0.0578355,1.74189734,0.5880007699999998
5,0.12799978,3.07199979,0.7679997900000002,0.0968522,2.34104967,0.5991523299999999
6,0.19199967,3.83999968,0.76799989,0.14608000000000002,2.95374966,0.6126999900000003
7,0.26879978,4.608,0.7680003199999996,0.20578000000000002,3.58204055,0.6282908899999997
8,0.35839987,5.376,0.7680000000000007,0.27624000000000004,4.227613,0.64557245
9,0.46079993,6.144,0.7679999999999998,0.35777000000000003,4.891804,0.6641909999999998
10,0.57599997,6.912,0.7679999999999998,0.4506959,5.57559872,0.6837947200000007
11,0.704,7.6800003100000005,0.7680003100000006,0.5553559,6.279628,0.7040292799999994
12,0.8447999900000001,8.448,0.7679996899999999,0.6720914,7.00417,0.7245420000000005
13,0.99839997,9.216,0.7679999999999989,0.8012437,7.74915075,0.7449807499999999
14,1.16479993,9.983999,0.7679990000000014,0.9431466,8.514143,0.7649922500000006
15,1.34399986,10.7519989,0.7679998999999995,1.0981187,9.298367,0.784224
16,1.53599977,11.5199986,0.767999699999999,1.2664632,10.100688,0.8023209999999992
17,1.7407998999999998,12.2879982,0.7679996000000013,1.4484566,10.9196215,0.8189335
18,1.95413316,12.8,0.5120018000000002,1.6443452,11.7533274,0.8337059
19,2.16746616,12.8,0.0,1.8523800000000001,12.4821062,0.7287788000000006
20,2.38079916,12.8,0.0,2.0628823,12.6301231,0.1480169
21,2.59413242,12.8,0.0,2.27514,12.7353992,0.10527609999999932
22,2.80746555,12.8,0.0,2.4883527,12.7927246,0.05732539999999986
23,3.02079868,12.8,0.0,2.7017182,12.8019533,0.009228699999999534
24,3.23413181,12.8,0.0,2.9150838,12.8019533,0.0
