TimeStep,GroundPositionX,GroundVelocityX,GroundAccelerationX,AirPositionX,AirVelocityX,AirAccelerationX
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.007999899999999999,0.47999995900000003,0.47999995900000003,0.005982299999999999,0.35893634,0.35893634
3,0.02399993,0.9599998999999999,0.4799999409999999,0.018002399999999998,0.7211852999999999,0.3622489599999999
4,0.04799986,1.43999982,0.47999992,0.036147,1.08868575,0.3675004500000001
5,0.07999992,1.91999984,0.4800000200000001,0.060532499999999996,1.463156,0.3744702499999999
6,0.11999988,2.39999986,0.48000001999999986,0.0913,1.84609354,0.38293754000000013
7,0.16799998,2.87999988,0.4800000200000003,0.1286134,2.23877549,0.39268195000000006
8,0.22399998000000002,3.36,0.4800001199999997,0.17265000000000003,2.64225817,0.40348267999999976
9,0.28799987,3.84,0.48,0.2236069,3.05737758,0.41511940999999997
10,0.35999989,4.31999969,0.47999969000000053,0.2816857,3.484749,0.42737142000000006
11,0.43999982,4.79999971,0.4800000199999994,0.34709819999999997,3.92476726,0.44001826
12,0.52799988,5.27999973,0.4800000200000003,0.4200581,4.377606,0.45283874000000024
13,0.62399983,5.75999975,0.4800000200000003,0.500779,4.8432189999999995,0.4656129999999994
14,0.72799992,6.24,0.4800002499999998,0.5894688,5.321339,0.47812000000000054
15,0.8399999100000001,6.72,0.47999999999999954,0.6863258999999999,5.811479,0.49014000000000024
16,0.9599998,7.2,0.4800000000000004,0.7915409999999999,6.31293,0.5014509999999994
17,1.08799982,7.68,0.47999999999999954,0.9052876,6.8247633,0.5118333000000002
18,1.22133303,8.0,0.3200000000000003,1.0277184,7.34582949,0.52106619
19,1.35466616,8.0,0.0,1.15774,7.80131626,0.45548677000000026
20,1.48799944,8.0,0.0,1.2893037,7.893827,0.09251073999999981
21,1.6213326399999999,8.0,0.0,1.4219636,7.95962429,0.0657972899999999
22,1.7546658499999999,8.0,0.0,1.55522,7.9954529999999995,0.03582870999999965
23,1.8879991600000001,8.0,0.0,1.6885747,8.001221,0.005767999999999773
24,2.02133216,8.0,0.0,1.8219289,8.001221,0.0
