TimeStep,GroundPositionX,GroundVelocityX,GroundAccelerationX,AirPositionX,AirVelocityX,AirAccelerationX
-1,0.0,12.8,0.0,0.0,12.8019533,0.0
0,0.21333326,12.8,0.0,0.21336549999999999,12.8019533,0.0
1,0.37220000000000003,9.532001,-3.2679990000000014,0.35453989999999996,8.470475,-4.331478299999999
2,0.4766003,6.26400042,-3.268000579999999,0.48605539999999997,7.890877,-0.5795980000000007
3,0.52653374,2.99600077,-3.26799965,0.607769,7.302876,-0.5880009999999993
4,0.5220004500000001,-0.271998942,-3.2679997120000004,0.7194977,6.703724,-0.5991520000000001
5,0.504667,-1.03999889,-0.7679999479999999,0.8210143999999999,6.091024,-0.6127000000000002
6,0.47453369,-1.8079988999999999,-0.76800001,0.9120598,5.462733,-0.6282909999999999
7,0.43160000000000004,-2.57599878,-0.7679998800000001,0.9923458,4.81716061,-0.6455723899999999
8,0.375867,-3.34399867,-0.76799989,1.0615613,4.15296936,-0.66419125
9,0.3073336,-4.11199856,-0.76799989,1.1193813,3.469175,-0.6837943600000003
10,0.22600044,-4.87999868,-0.76800012,1.1654663,2.76514626,-0.70402874
11,0.13186699999999998,-5.647999,-0.7680003200000005,1.1994761999999999,2.040604,-0.7245422599999998
12,0.024933999999999998,-6.415999,-0.7679999999999998,1.2210713,1.29562306,-0.74498094
13,-0.09479939,-7.183999,-0.7679999999999998,1.2299137,0.5306305,-0.76499256
14,-0.22733299999999998,-7.951999,-0.7679999999999998,1.225687,-0.253593177,-0.784223677
15,-0.372666,-8.719999,-0.7679999999999998,1.2080898,-1.05591488,-0.802321703
16,-0.53079973,-9.487999,-0.7680000000000007,1.1768413,-1.87484837,-0.81893349
17,-0.7017329999999999,-10.2559986,-0.7679995999999996,1.1317013,-2.70855451,-0.8337061399999999
18,-0.8854662,-11.0239983,-0.7679997000000007,1.0724525,-3.5548412799999998,-0.8462867699999999
19,-1.0819994099999999,-11.7919979,-0.7679995999999996,0.9989338,-4.41116333,-0.8563220500000002
20,-1.2913325900000001,-12.559997599999999,-0.767999699999999,0.9110212999999999,-5.27462339,-0.8634600600000004
21,-1.5046659999999998,-12.8,-0.24000240000000161,0.8086567,-6.14197,-0.8673466099999994
22,-1.71799933,-12.8,0.0,0.6918238999999999,-7.00994253,-0.8679725300000003
23,-1.93133269,-12.8,0.0,0.560524,-7.877915,-0.8679724699999998
24,-2.144666,-12.8,0.0,0.4147587,-8.745887,-0.867972
25,-2.35799943,-12.8,0.0,0.2545299,-9.613859,-0.867972
26,-2.5713328,-12.8,0.0,0.0798313,-10.4818316,-0.8679725999999999
27,-2.78466617,-12.8,0.0,-0.1093311,-11.3498039,-0.8679722999999999
28,-2.99799954,-12.8,0.0,-0.3129597,-12.2177763,-0.8679724000000011
29,-3.2113329,-12.8,0.0,-0.5263270999999999,-12.8019533,-0.5841769999999986
30,-3.42466627,-12.8,0.0,-0.7396908,-12.8019533,0.0
