TimeStep,GroundPositionX,GroundVelocityX,GroundAccelerationX,AirPositionX,AirVelocityX,AirAccelerationX
-1,0.0,12.8,0.0,0.0,12.8019533,0.0
0,0.21333326,12.8,0.0,0.21336549999999999,12.8019533,0.0
1,0.34666647,8.0,-4.800000000000001,0.30159949999999996,5.294047,-7.507906299999999
2,0.43033327,5.02,-2.9800000000000004,0.3837948,4.931798,-0.36224900000000027
3,0.464333,2.0400002,-2.9799997999999994,0.4598675,4.56429768,-0.36750031999999955
4,0.45633329,-0.47999995900000003,-2.5200001590000003,0.5296993,4.18982744,-0.37447023999999995
5,0.4403335,-0.9599998999999999,-0.4799999409999999,0.5931453999999999,3.80689,-0.3829374400000001
6,0.41633333,-1.43999982,-0.47999992,0.6500492,3.41420817,-0.3926818299999999
7,0.38433327,-1.91999984,-0.4800000200000001,0.7002277,3.0107255,-0.40348267000000027
8,0.3443333,-2.39999986,-0.48000001999999986,0.7434883,2.595606,-0.41511949999999986
9,0.29633345,-2.87999988,-0.4800000200000003,0.7796268,2.16823459,-0.4273714100000001
10,0.24033369000000002,-3.36,-0.4800001199999997,0.8084296999999999,1.72821653,-0.4400180599999999
11,0.17633356,-3.84,-0.48,0.8296871,1.27537763,-0.45283890000000016
12,0.10433353000000001,-4.31999969,-0.47999969000000053,0.8431835,0.8097645,-0.46561312999999993
13,0.024333610000000002,-4.79999971,-0.4800000199999994,0.8487113,0.3316442,-0.4781203
14,-0.063666,-5.27999973,-0.4800000200000003,0.8460673999999999,-0.15849559,-0.49013978999999996
15,-0.15966641,-5.75999975,-0.4800000200000003,0.8350696,-0.659946561,-0.501450971
16,-0.26366649999999997,-6.24,-0.4800002499999998,0.8155403,-1.17178,-0.511833439
17,-0.37566649,-6.72,-0.47999999999999954,0.7873249,-1.6928462999999998,-0.5210662999999998
18,-0.49566637,-7.2,-0.4800000000000004,0.7502956,-2.22177553,-0.5289292300000001
19,-0.6236659999999999,-7.68,-0.47999999999999954,0.7043476,-2.75697684,-0.5352013100000002
20,-0.75699936,-8.0,-0.3200000000000003,0.6494025999999999,-3.2966392,-0.5396623599999999
21,-0.89033257,-8.0,0.0,0.5854244,-3.83873081,-0.54209161
22,-1.02366577,-8.0,0.0,0.5124035,-4.38121367,-0.5424828600000002
23,-1.1569989999999999,-8.0,0.0,0.4303413,-4.92369652,-0.5424828499999998
24,-1.29033218,-8.0,0.0,0.33923909999999996,-5.46617937,-0.5424828499999998
25,-1.42366539,-8.0,0.0,0.2390957,-6.008662,-0.5424826300000003
26,-1.5569986,-8.0,0.0,0.12990759999999998,-6.551145,-0.5424829999999998
27,-1.6903318,-8.0,0.0,0.0116825,-7.093628,-0.5424829999999998
28,-1.823665,-8.0,0.0,-0.1155872,-7.636111,-0.5424829999999998
29,-1.95699822,-8.0,0.0,-0.24894139999999998,-8.001221,-0.3651099999999996
30,-2.09033142,-8.0,0.0,-0.38229369999999996,-8.001221,0.0
