TimeStep,GroundPositionX,GroundVelocityX,GroundAccelerationX,AirPositionX,AirVelocityX,AirAccelerationX
-1,0.0,12.8,0.0,0.0,12.8019533,0.0
0,0.21333326,12.8,0.0,0.21336549999999999,12.8019533,0.0
1,0.34666647,8.0,-4.800000000000001,0.30159949999999996,5.294047,-7.507906299999999
2,0.425533,4.732,-3.268,0.3801746,4.71444845,-0.57959855
3,0.44993299999999997,1.46400023,-3.2679997700000003,0.44894789999999996,4.12644768,-0.5880007699999998
4,0.437133,-0.7679999470000001,-2.2320001769999998,0.5077362,3.52729535,-0.5991523299999999
5,0.411533,-1.53599989,-0.767999943,0.5563125,2.91459537,-0.6126999800000004
6,0.373133,-2.304,-0.7680001099999998,0.5944176,2.28630447,-0.6282908999999997
7,0.32193299999999997,-3.07199979,-0.7679997900000002,0.6217632,1.6407321700000002,-0.6455723
8,0.25793299999999997,-3.83999968,-0.76799989,0.6380386,0.9765410999999999,-0.6641910700000002
9,0.181133,-4.608,-0.7680003199999996,0.6429176,0.2927468,-0.6837943
10,0.09153299999999999,-5.376,-0.7680000000000007,0.6360625999999999,-0.411282152,-0.704028952
11,-0.010867,-6.144,-0.7679999999999998,0.6171312999999999,-1.13582432,-0.7245421679999999
12,-0.12606699999999998,-6.912,-0.7679999999999998,0.5857867999999999,-1.88080537,-0.74498105
13,-0.254067,-7.6800003100000005,-0.7680003100000006,0.5416889,-2.645798,-0.7649926300000001
14,-0.39486699999999997,-8.448,-0.7679996899999999,0.4845213,-3.43002176,-0.7842237599999997
15,-0.54846655,-9.216,-0.7679999999999989,0.4139824,-4.232343,-0.8023212400000004
16,-0.71486651,-9.983999,-0.7679990000000014,0.3297939,-5.05127668,-0.8189336799999998
17,-0.89406644,-10.7519989,-0.7679998999999995,0.23171129999999998,-5.88498259,-0.8337059099999999
18,-1.08606635,-11.5199986,-0.767999699999999,0.11952399999999999,-6.73126936,-0.8462867699999999
19,-1.29086624,-12.2879982,-0.7679996000000013,-0.006937,-7.58759165,-0.8563222900000005
20,-1.5041996100000001,-12.8,-0.5120018000000002,-0.1477871,-8.451052,-0.8634603500000004
21,-1.717533,-12.8,0.0,-0.3030949,-9.318398,-0.8673459999999995
22,-1.93086635,-12.8,0.0,-0.4728687,-10.1863708,-0.8679728000000004
23,-2.14419972,-12.8,0.0,-0.6571064,-11.0543432,-0.8679723999999993
24,-2.357533,-12.8,0.0,-0.8558121,-11.9223156,-0.8679723999999993
25,-2.57086645,-12.8,0.0,-1.0689831,-12.790288,-0.8679724000000011
26,-2.78419982,-12.8,0.0,-1.2823487,-12.8019533,-0.01166529999999888
27,-2.99753319,-12.8,0.0,-1.4957142,-12.8019533,0.0
28,-3.21086656,-12.8,0.0,-1.7090798,-12.8019533,0.0
29,-3.42419993,-12.8,0.0,-1.9224453,-12.8019533,0.0
30,-3.63753329,-12.8,0.0,-2.1358109,-12.8019533,0.0
