TimeStep,GroundPositionX,GroundVelocityX,GroundAccelerationX,AirPositionX,AirVelocityX,AirAccelerationX
-1,0.0,8.0,0.0,0.0,8.001221,0.0
0,0.13333319999999999,8.0,0.0,0.1333541,8.001221,0.0
1,0.21219972,4.732,-3.268,0.2571353,7.42692232,-0.5742986799999992
2,0.23659972,1.46400023,-3.2679997700000003,0.37125959999999997,6.847324,-0.5795983199999997
3,0.22379972,-0.7679999470000001,-2.2320001769999998,0.47558019999999995,6.259323,-0.5880010000000002
4,0.19819972,-1.53599989,-0.767999943,0.5699176,5.660171,-0.5991520000000001
5,0.15979972,-2.304,-0.7680001099999998,0.6540423,5.047471,-0.6127000000000002
6,0.10859972,-3.07199979,-0.7679997900000002,0.7276954,4.41918,-0.6282909999999999
7,0.04459972,-3.83999968,-0.76799989,0.7905901999999999,3.77360749,-0.64557251
8,-0.03220028,-4.608,-0.7680003199999996,0.8424123,3.10941648,-0.6641910099999997
9,-0.12180042,-5.376,-0.7680000000000007,0.8828410999999999,2.42562222,-0.68379426
10,-0.22420049,-6.144,-0.7679999999999998,0.9115333,1.7215932600000001,-0.70402896
11,-0.33940053000000003,-6.912,-0.7679999999999998,0.9281522999999999,0.99705106,-0.7245422000000001
12,-0.46740055,-7.6800003100000005,-0.7680003100000006,0.9323522999999999,0.25207004,-0.74498102
13,-0.6082005500000001,-8.448,-0.7679996899999999,0.9238033,-0.5129225,-0.7649925399999999
14,-0.76180053,-9.216,-0.7679999999999989,0.9021853999999999,-1.2971462,-0.7842237000000001
15,-0.92820048,-9.983999,-0.7679990000000014,0.8671922999999999,-2.09946775,-0.80232155
16,-1.10740042,-10.7519989,-0.7679998999999995,0.8185523,-2.91840124,-0.81893349
17,-1.29940028,-11.5199986,-0.767999699999999,0.7560176,-3.75210738,-0.8337061399999999
18,-1.50420028,-12.2879982,-0.7679996000000013,0.6793766,-4.598394,-0.8462866199999999
19,-1.71753359,-12.8,-0.5120018000000002,0.5884647,-5.454716,-0.8563220000000005
20,-1.93086696,-12.8,0.0,0.4831638,-6.31817627,-0.86346027
21,-2.14420028,-12.8,0.0,0.3634052,-7.185523,-0.8673467299999995
22,-2.35753369,-12.8,0.0,0.2291793,-8.053495,-0.867972
23,-2.57086706,-12.8,0.0,0.0804882,-8.921468,-0.867973000000001
24,-2.7842004300000003,-12.8,0.0,-0.0826703,-9.78944,-0.867972
25,-2.99753374,-12.8,0.0,-0.26029399999999997,-10.6574125,-0.8679724999999987
26,-3.210867049,-12.8,0.0,-0.4523831,-11.5253849,-0.8679724000000011
27,-3.424200358,-12.8,0.0,-0.6589394,-12.3933573,-0.8679723999999993
28,-3.6375336799999998,-12.8,0.0,-0.872305,-12.8019533,-0.4085959999999993
29,-3.8508670047,-12.8,0.0,-1.0856705,-12.8019533,0.0
30,-4.064200328,-12.8,0.0,-1.2990361,-12.8019533,0.0
