TimeStep,GroundPositionX,GroundVelocityX,GroundAccelerationX,AirPositionX,AirVelocityX,AirAccelerationX
-1,0.0,8.0,0.0,0.0,8.001221,0.0
0,0.13333319999999999,8.0,0.0,0.1333541,8.001221,0.0
1,0.21700001,5.02,-2.9800000000000004,0.22158809999999998,5.294047,-2.7071739999999993
2,0.25099972,2.0400002,-2.9799997999999994,0.3037853,4.931798,-0.36224900000000027
3,0.24300003,-0.47999995900000003,-2.5200001590000003,0.3798561,4.56429768,-0.36750031999999955
4,0.22700023,-0.9599998999999999,-0.4799999409999999,0.449686,4.18982744,-0.37447023999999995
5,0.20300007,-1.43999982,-0.47999992,0.5131359,3.80689,-0.3829374400000001
6,0.171,-1.91999984,-0.4800000200000001,0.5700396999999999,3.41420817,-0.3926818299999999
7,0.13100004,-2.39999986,-0.48000001999999986,0.6202181999999999,3.0107255,-0.40348267000000027
8,0.08299994000000001,-2.87999988,-0.4800000200000003,0.6634768999999999,2.595606,-0.41511949999999986
9,0.02699995,-3.36,-0.4800001199999997,0.6996135,2.16823459,-0.4273714100000001
10,-0.03699994,-3.84,-0.48,0.7284183,1.72821653,-0.4400180599999999
11,-0.10899997,-4.31999969,-0.47999969000000053,0.7496738,1.27537763,-0.45283890000000016
12,-0.18899989,-4.79999971,-0.4800000199999994,0.7631702,0.8097645,-0.46561312999999993
13,-0.27699995,-5.27999973,-0.4800000200000003,0.7686976999999999,0.3316442,-0.4781203
14,-0.37299991,-5.75999975,-0.4800000200000003,0.7660579,-0.15849559,-0.49013978999999996
15,-0.47700000000000004,-6.24,-0.4800002499999998,0.7550582,-0.659946561,-0.501450971
16,-0.58899999,-6.72,-0.47999999999999954,0.7355288999999999,-1.17178,-0.511833439
17,-0.70899987,-7.2,-0.4800000000000004,0.7073153999999999,-1.6928462999999998,-0.5210662999999998
18,-0.83699989,-7.68,-0.47999999999999954,0.6702861,-2.22177553,-0.5289292300000001
19,-0.9703331,-8.0,-0.3200000000000003,0.6243343,-2.75697684,-0.5352013100000002
20,-1.10366628,-8.0,0.0,0.5693912,-3.2966392,-0.5396623599999999
21,-1.23699951,-8.0,0.0,0.5054111,-3.83873081,-0.54209161
22,-1.37033272,-8.0,0.0,0.4323923,-4.38121367,-0.5424828600000002
23,-1.50366593,-8.0,0.0,0.3503303,-4.92369652,-0.5424828499999998
24,-1.63699913,-8.0,0.0,0.2592277,-5.46617937,-0.5424828499999998
25,-1.7703322799999999,-8.0,0.0,0.15908229999999998,-6.008662,-0.5424826300000003
26,-1.9036656600000001,-8.0,0.0,0.0498981,-6.551145,-0.5424829999999998
27,-2.03699899,-8.0,0.0,-0.0683308,-7.093628,-0.5424829999999998
28,-2.1703322800000002,-8.0,0.0,-0.19559769999999999,-7.636111,-0.5424829999999998
29,-2.30366564,-8.0,0.0,-0.3289509,-8.001221,-0.3651099999999996
30,-2.43699896,-8.0,0.0,-0.46230509999999997,-8.001221,0.0
