TimeStep,GroundPositionX,GroundVelocityX,GroundAccelerationX,AirPositionX,AirVelocityX,AirAccelerationX
0,0.0,8.0,0.0,0.0,8.001221,0.0
1,0.13333319999999999,8.0,0.0,0.1333541,8.001221,0.0
2,0.27946672,8.768,0.7680000000000007,0.28117369999999997,8.869193,0.867972
3,0.43839972,9.535999,0.7679989999999997,0.4434604,9.737165,0.867972
4,0.61013317,10.3039989,0.7679998999999995,0.6202122999999999,10.6051378,0.8679728000000004
5,0.79466629,11.0719986,0.7679997000000007,0.8114323,11.47311,0.8679722000000005
6,0.99199972,11.8399982,0.7679995999999996,1.0171165,12.3410826,0.8679725999999999
7,1.20213272,12.6079979,0.7679997000000007,1.2304823,12.8019533,0.4608706999999992
8,1.41546572,12.8,0.19200209999999984,1.4438476,12.8019533,0.0
9,1.6287989600000001,12.8,0.0,1.6572122999999999,12.8019533,0.0
