TimeStep,AccelerationY_1,AccelerationY_10,AccelerationY_11,AccelerationY_12,AccelerationY_13,AccelerationY_14,AccelerationY_15,AccelerationY_16,AccelerationY_17,AccelerationY_18,AccelerationY_2,AccelerationY_3,AccelerationY_4,AccelerationY_5,AccelerationY_6,AccelerationY_7,AccelerationY_8,AccelerationY_9,PositionY_1,PositionY_10,PositionY_11,PositionY_12,PositionY_13,PositionY_14,PositionY_15,PositionY_16,PositionY_17,PositionY_18,PositionY_2,PositionY_3,PositionY_4,PositionY_5,PositionY_6,PositionY_7,PositionY_8,PositionY_9,VelocityY_1,VelocityY_10,VelocityY_11,VelocityY_12,VelocityY_13,VelocityY_14,VelocityY_15,VelocityY_16,VelocityY_17,VelocityY_18,VelocityY_2,VelocityY_3,VelocityY_4,VelocityY_5,VelocityY_6,VelocityY_7,VelocityY_8,VelocityY_9
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0
0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,-0.0333338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,0.22287649999999998,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454,15.3726454
2,-3.6273546000000003,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,0.4186315,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,0.470087,11.7452908,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454,14.8326454
3,-3.5935998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-1.7910032000000005,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,-0.5399998999999998,0.5544929,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.6874475,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,0.7082976999999999,8.151691,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,13.0416422,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455,14.2926455
4,-2.59035,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-3.0420072000000005,-1.6979571,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,-0.5400000000000009,0.6471815,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.8541078,0.9182089999999999,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,0.9375085,5.561341,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,9.999635,12.5946884,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455,13.7526455
5,-1.6977273899999998,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-3.2248647399999992,-2.8559134000000004,-1.5736589999999993,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,0.7115754999999999,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,0.9670209,1.0805215,1.1404914,1.1577196,1.1577196,1.1577196,1.1577196,1.1577196,3.86361361,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455,6.77477026,9.738775,12.1789865,13.2126455,13.2126455,13.2126455,13.2126455,13.2126455
6,-1.37227774,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-2.0845392600000006,-3.14561532,-2.6073185,-1.4423036000000007,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,-0.5399999000000015,0.7530975,1.3689308,1.3689308,1.3689308,1.3689308,1.3689308,1.3689308,1.3689308,1.3689308,1.3689308,1.0451917,1.1904077,1.3000192,1.3538923,1.3689308,1.3689308,1.3689308,1.3689308,2.49133587,12.6726456,12.6726456,12.6726456,12.6726456,12.6726456,12.6726456,12.6726456,12.6726456,12.6726456,4.690231,6.59315968,9.571668,11.7703419,12.6726456,12.6726456,12.6726456,12.6726456
7,-1.22477365,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.4911796199999996,-2.02140904,-3.092467000000001,-2.3264619,-1.3191318999999986,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,0.7742070999999999,1.5711412,1.5711412,1.5711412,1.5711412,1.5711412,1.5711412,1.5711412,1.5711412,1.5711412,1.0985088,1.2666034,1.4080057,1.5112904999999999,1.5581559999999999,1.5711412,1.5711412,1.5711412,1.26656222,12.1326456,12.1326456,12.1326456,12.1326456,12.1326456,12.1326456,12.1326456,12.1326456,12.1326456,3.19905138,4.57175064,6.479201,9.44388,11.3535137,12.1326456,12.1326456,12.1326456
8,-1.12278023,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-0.5399999999999991,-1.2989405400000003,-1.4692044200000005,-1.9825545999999994,-2.7413076499999995,-2.054359700000001,-1.2105721999999997,-0.5399999999999991,-0.5399999999999991,0.7766041,1.7643518,1.7643518,1.7643518,1.7643518,1.7643518,1.7643518,1.7643518,1.7643518,1.7643518,1.1301775,1.3183126,1.4829501999999999,1.6230001,1.7131414,1.7531757,1.7643518,1.7643518,0.14378199,11.5926456,11.5926456,11.5926456,11.5926456,11.5926456,11.5926456,11.5926456,11.5926456,11.5926456,1.90011084,3.10254622,4.4966464,6.7025723500000005,9.299154,10.9220734,11.5926456,11.5926456
