TimeStep,WalkPositionX,WalkVelocityX,WalkAccelerationX,SprintPositionX,SprintVelocityX,SprintAccelerationX
-1,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.13333319999999999,8.0,8.0,0.2133331,12.8,12.8
2,0.26668739999999996,8.001,0.0009999999999994458,0.4266987,12.802,0.0019999999999988916
3,0.4000416,8.001,0.0,0.6400642999999999,12.802,0.0
4,0.5333958,8.001,0.0,0.8534298,12.802,0.0
5,0.6667500000000001,8.001,0.0,1.0667954,12.802,0.0
6,0.8001041999999999,8.001,0.0,1.2801609,12.802,0.0
7,0.9334587,8.001,0.0,1.4935265,12.802,0.0
8,1.0668125,8.001,0.0,1.7068919999999999,12.802,0.0
9,1.2001667,8.001,0.0,1.9202576,12.802,0.0
10,1.3335209,8.001,0.0,2.1336231,12.802,0.0
